"['题目', 'URL']"
英汉时间词特质及其语言蕴含共性,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805001.htm
语序在认知语法“提取和激活”模型中的作用:以副词修饰为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805002.htm
英语分离疑问句的句法生成机制及其论元量化特征研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805003.htm
音系范畴是天赋的还是浮现的?,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805004.htm
汉英关键语言技能对中国学生英语词汇认读的影响研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805005.htm
大学英语有效课堂环境构建及评价的影响机制,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805006.htm
视听输入对二语学习者英汉韵律边界的感知效应研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805007.htm
二语水平对藏-汉-英三语者英语词汇语义通达的影响,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805008.htm
“一带一路”背景下英语与非英语语种教育问题探讨,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805009.htm
人工翻译和译后编辑中认知加工的眼动实验研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805011.htm
早期儒家典籍英语转译中的文化传播研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805012.htm
《聊斋志异》俄、英译本注释中的文化解读,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805013.htm
精巧的语言  有意味的形式――汉语谜语语言研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804001.htm
Halliday意义上隐喻式关系小句的意象图式基础,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804002.htm
转喻思维与虚拟位移构式的建构,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804003.htm
汉日“切割”类动词范畴化的跨语言实证研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804004.htm
EFL交际课堂中的偶发型形式聚焦,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804005.htm
汉语母语者对英语量化词语义辖域的习得研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804006.htm
中国英语学习者英语虚拟语气加工的ERP研究――以it引导的主语从句为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804007.htm
抑制控制能力及其训练对低熟练汉英双语者语言切换代价的影响,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804008.htm
整体外语教学的理念,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804009.htm
读后续写对中高级水平外语学习者写作修辞的学习效应研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804010.htm
人文交流“深度”说――以19世纪西方文学思潮之中国传播为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804011.htm
比较文学与中外文化交流,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804012.htm
光杆名词短语类指功能的跨语言考察,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201803002.htm
英汉语构词理据:基于认知语言学识解理论的对比分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201803003.htm
汉语空动词与动词性空语类的界定及其范围,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201803004.htm
中国大学生英语口语中不定式和动名词述补行为的多因素分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201803006.htm
不同水平学习者对英语语调感知的实证研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201803007.htm
二语暂时歧义句在线加工中的动词事件结构效应,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201803009.htm
外语专业学生国际化培养的实践与思考――北京大学外国语学院学生留学情况调查,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201803011.htm
译者-作者互动与翻译过程――基于葛浩文翻译档案的分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201803012.htm
交替传译认知加工焦虑量表的编制及其效度检验,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201803013.htm
再谈语言信息结构理论,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802001.htm
英语“类量词”研究――兼与汉语量词作功能类型学对比,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802002.htm
话语角色动词与双宾句,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802003.htm
英汉语“小句”语法地位再审视,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802004.htm
中国学习者英语量化辖域解读的实验研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802005.htm
高水平学习者语言复杂度的多维发展研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802006.htm
应用认知语言学三十年,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802007.htm
基于认知加工的第二语言口语流利性测量,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802008.htm
透过翻译的语言接触研究:翻译文本的“显化”特征对原生文本的历时影响,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802009.htm
汉语译文中轻动词的使用特征研究:基于语料库的探讨,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802010.htm
中国文化软实力海外传播研究:现状、问题与对策,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802011.htm
中国文学在“一带一路”沿线国家意大利的翻译、传播与影响,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802012.htm
中外交流  文明互鉴――记“‘中外文化交流研究’专题研讨会”,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201802013.htm
英语词组动词结构的句法研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801001.htm
“怀疑”的词汇歧义和意义识解策略,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801002.htm
独立主格结构的主体间性――Bob Dylan自传的文体分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801003.htm
系统功能语言学60年发展趋势探索,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801004.htm
短语理论框架综论,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801005.htm
母语迁移对中国大学生使用英语动名搭配的动态影响,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801006.htm
基于认知诊断评估的英语阅读诊断模型构建,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801007.htm
母语背景和语境在时间概念加工中的作用研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801008.htm
二语熟练水平对汉英双语者二语词汇通达中一语自动激活的影响,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801009.htm
从中西思想对比看中国文化的当代价值,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801010.htm
中外交流  文化互鉴――诺贝尔文学奖得主莫言与勒克莱齐奥的交往与对话,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801012.htm
从“现实世界中的语用学”看研究的前沿态势,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201801013.htm
跨语言句法相似性对二语句法加工的影响――来自中国英语学习者的ERP证据,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706001.htm
中国学生英语搭配加工中母语语义启动与词类效应研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706002.htm
中国英语学习者代词理解实证研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706003.htm
中国英语学习者wh-单子句习得中句法移位及特征词汇化难度的不对称性,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706004.htm
人文英语教育论,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706005.htm
全人教育与个性学习――英语专业《国标》课程体系的研制与思考,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706006.htm
论生态话语和行为分析的假定和原则,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706007.htm
基于谚语理解的语用充实新探,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706008.htm
焦点化与俄语倒装式约量短语,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706009.htm
评价副词与背景命题――“偏偏”的语义与句法特性,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706010.htm
从《金刚经》梵汉对勘看玄奘的翻译语法观念,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706011.htm
情境认知视角下的翻译过程研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201706012.htm
话语识解的认知机制:语法-语用互动视角,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201705002.htm
当代语用学的多面性及其符号学维度,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201705003.htm
三方恭维回应策略研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201705004.htm
语用学研究国际热点与趋势分析(2006-2015),http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201705005.htm
语言类型学的“相关性”研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201705007.htm
何以并列?――跨语言视角下的汉语并列难题,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201705008.htm
论外语教育学的学科建构,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201705009.htm
“中国英语能力等级量表”的语言经济学分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201705010.htm
中国英语学习者语篇理解过程中的认知负荷――三种输入模式对比研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201705011.htm
中国英语学习者词汇与概念表征发展研究:来自混合效应模型的证据,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201705013.htm
“得”=变得+使得?,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201704017.htm
从分裂作格现象看汉语句法的混合性,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201704018.htm
论词的文化意义的类别与判定,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201704019.htm
从“以写促学”到“以续促学”,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201704020.htm
汉、英母语者空间感知倾向对句子在线加工的影响,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201704022.htm
中国大学生英语叙事语篇中的主题引入与延续:一项历时研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201704023.htm
写作停顿视角下的二语写作过程研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201704024.htm
对翻译英语中原语干扰的文体统计学分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201704025.htm
试论文学翻译的生成性,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201704026.htm
论林语堂翻译《红楼梦》的六大选择,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201704027.htm
汉语话题回指如何受动词语义关系约束――来自脑电研究的证据,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703001.htm
语篇隐喻的结构特点与认知功能――以《百喻经》和《庄子》为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703002.htm
句子结构层级的分布规律,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703003.htm
英语“主从介词短语复合体”的系统功能语言学研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703004.htm
英语动词型式自动识别研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703005.htm
英语强化词的构式搭配分析及其可视化研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703006.htm
基于复杂理论的英语学习者口语复杂度、准确度、流利度发展研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703007.htm
中国学生汉英名词产出过程中词汇竞争及其重复启动效应研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703008.htm
中国学习者在线加工英语运动事件表达中的启动效应与认知机制研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703009.htm
形符频率、词汇频率和形义映合凸显度在英语构式习得中的效应研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703010.htm
关于语言本质问题的反思,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703011.htm
西方学术视野中的翻译学,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703012.htm
国际中介语语用学研究动态可视化分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201703014.htm
空论元儿童语言习得研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201702001.htm
汉语儿童同音词习得的实验研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201702002.htm
北京话和粤语背景学习者英语词重音产出研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201702003.htm
学术英语文本中的功能句干研究:提取方法与频数分布,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201702004.htm
德、汉语左偏置构式的语用认知对比研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201702005.htm
违实标记与违实义的生成――基于大规模语种库的类型学研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201702006.htm
基于范畴图式-示例关系的释同与解异探析――英语学习词典范畴化释义研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201702007.htm
我国应用语言学理论国际化的标准与挑战――基于中国大陆学者国际论文创新性的分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201702008.htm
默认-框架礼貌视角下的中国英语学习者异议话语研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201702009.htm
知识转移理论视角下的外语学科创新能力思考――广东外语学科知识转移影响因素研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201702010.htm
赋诗言志:含义与类比思维,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701001.htm
英汉虚构运动事件词汇化模式对比研究――以toward(s)为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701002.htm
句子中心语性质跨语言差异与祈使句主语隐现,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701003.htm
基于历时复合语料库的翻译与现代汉语变化考察,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701004.htm
语料库研究学术源流考,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701006.htm
基于语料库的“弄”字句及物性研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701007.htm
中国学生英语不及物动词不对称习得研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701009.htm
英语名词可数性转换习得中的抑制因子探究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701010.htm
基于分布格模型的英语词类习得研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701011.htm
康达维译《文选・赋》:学术研究型深度翻译,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701012.htm
《道德经》最早英译本及其译者初探,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201701013.htm
翻译语言影响原创语言的途径和方式――基于汉语结构复杂度的分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201805005.htm
事态句的时间量化及其语言类型学意义――以汉语“V+T(的)+N”及其对应英语结构的对比分析为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201805006.htm
最大化操作在语义研究中的解释力――兼论其应用于汉语时的问题,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201805007.htm
再论汉语所谓“倒置动结式”的性质和特征,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201805009.htm
系统功能语言学中conjunction概念的嬗变,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201805010.htm
不同谓词结构短语转化的习得研究:基于原则和特征的视角,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201805011.htm
对《科学》和《自然》上两个递归实验的质疑:基于对汉语母语者的测试,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201805012.htm
(逆)全球化语境下的中国话语理论与实践,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201805013.htm
体裁互文性的话语分析――以南中国海仲裁案为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201805014.htm
副文本视角下16至19世纪古典汉诗英译翻译话语研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201805016.htm
领属关系的生命度制约,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201804007.htm
人际语用学视角下人际关系管理的人情原则,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201804009.htm
美国话语的文化语用推理试探,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201804010.htm
汉语请求言语行为的变异语用学研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201804011.htm
语义含量与译值熵的关系研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201804012.htm
形象学与翻译研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201804013.htm
翻译定位与翻译成长性――中国文学外译语境下的多元系统论再思考,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201804014.htm
类型学视角下的“自己”义形式和功能,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201803001.htm
跨语言(非)现实与时―体―情态的范畴关联及显赫性格局,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201803002.htm
原则与参数理论的生物语言学批评,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201803003.htm
动词―构式的语义关系研究:认知事件框架进路,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201803004.htm
汉语医患会话中同话轮内自我修正研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201803006.htm
汉语连动结构的拷贝分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201803007.htm
振兴科学翻译史的研究――应用翻译研究有待拓展的领域,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201803008.htm
“节奏便是格律”――闻一多十四行诗译介的诗学解读,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201803010.htm
徐志摩诗歌创作与翻译的互动生成,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201803011.htm
转型焦虑:文化观念流变中的《心之死》,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201803012.htm
生成性建构主义视角下动结式的核心问题探究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802001.htm
隐含复杂性:以[NP_1+来+非处所NP_2]构式为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802002.htm
“他的老师当得好”句式:认知语法视角,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802003.htm
词义中物性角色的分布及其对词语释义的影响――以“颜色语素+名物语素”复合词为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802004.htm
硬科学论文中we的语义指向及话语行为研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802005.htm
认知压力和单词熟悉度对英语视觉词汇语义通达模式的影响――来自视译和阅读眼动实验的证据,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802006.htm
工作记忆容量影响不同类型修正性反馈效用的研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802007.htm
基于语料库的“历史语篇分析”(DHA)的过程与价值――以美国主流媒体对希拉里邮件门的话语建构为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802008.htm
汉语情感效价空间隐喻的手势表达,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802009.htm
少数民族活态史诗翻译谱系与转换机制探赜,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802010.htm
从象牙塔到竞技场――翻译能力的社会学研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201802011.htm
词库应该是什么样的?――基于生物语言学的思考,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201801002.htm
从物性角色看汉语中动句中动词的语义约束,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201801003.htm
从汉英偏正结构看构式的设计原理,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201801004.htm
选择疑问句“X还是(Y)”中对于X的结构优先,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201801005.htm
物体指称行为中涉手模式与指称语的互动研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201801006.htm
句首词“这”的指别和称代用法及其回指可及性对比――一项基于新闻评论语料的量化研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201801007.htm
批评性体裁分析:理论、应用与前瞻,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201801008.htm
人际语用学视域下争辩会话中的身份构建研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706001.htm
批评话语分析中态度意向的邻近化语义构建,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706002.htm
英语轻动词与动转名词搭配特征研究――基于“词汇体”分布的实证研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706003.htm
日语格助词カラ的本质义考察――基于格助词本质义理论,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706004.htm
汉、德语学术论文注释性言语行为对比研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706005.htm
语言哲学视野下的索绪尔符号任意性,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706007.htm
批评译学研究:翻译研究新进展,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706008.htm
葛浩文翻译策略的历时演变研究――基于莫言小说中意象话语的英译分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706010.htm
翻译与现代汉语结构容量的变化――以“介词……方位词”结构为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706012.htm
俄罗斯计量语言学发展述评,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706013.htm
“单线加工”还是“多线加工”?――语义P600研究的争议与最新进展,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201706014.htm
主观化与主位信息组织,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201705002.htm
意义的多维性与多维度语义学,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201705003.htm
双宾语结构被动化移位的跨语言研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201705004.htm
中医药典籍国内英译本海外接受状况调查及启示――以大中华文库《黄帝内经》英译本为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201705005.htm
中国古诗英译文献篇目信息统计与分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201705006.htm
构建读者友好型中国文化外译观――《为西方读者翻译中国:反思、批评和实践》(2015)介评,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201705010.htm
国外语言政策与规划理论研究述评,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201705012.htm
语言能力等级量表的效度及效度验证,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704001.htm
弗斯的意义理论与语料库语言学,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704002.htm
类型学的施格格局,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704003.htm
量词和量词结构再分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704004.htm
构式形态学及其对汉语词汇研究的启示,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704006.htm
基于间距效应的时间框架,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704007.htm
二语构式加工的神经认知机制研究――中国英语学习者对英语way构式加工的个案研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704008.htm
也谈语用研究的逻辑断裂与理论可能――评胡范铸教授对语用学的批评,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704009.htm
语境化能力:语用学与修辞学的契合点,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704010.htm
汉语语言学著作英译中的几个问题――《汉语语法学》译后记,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704011.htm
中国当代文学在西方译介与接受的障碍及其原因探析,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201704012.htm
英语句法结构“主观性语法成分+实义性成分”的历史来源考察,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201703001.htm
英语情态动词may的情境植入功能研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201703002.htm
“神一样的比喻”到底“神”在哪里?――有关双向比喻的思考,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201703003.htm
体验―文化双维框限下的汉英共轭隐喻索据,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201703004.htm
主语优先等同于施事者优先或话题优先吗?来自汉语简单句加工的脑电实验发现,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201703005.htm
基于语料库的英汉状态变化动词语义-句法界面比较研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201703006.htm
二语熟练度和二语工作记忆容量对晚期英-汉二语者句法加工的影响:以主谓一致关系判断为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201703007.htm
严复“信达雅”与“非正法”翻译的社会历史统一性解读,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201703008.htm
《易经》在西方翻译与诠释的流派,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201703009.htm
翻译伦理视角下我国陆港台三地进口药品商品名翻译比较研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201703010.htm
Chomsky标符理论及其原则解释力分析,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201702001.htm
语气词“啊”三分及其形式与功能,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201702002.htm
临床语用学视角下语用障碍的交叉研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201702004.htm
介入:会话分析应用研究的新视角,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201702005.htm
对话句法:认知功能主义对会话分析的最新探索,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201702006.htm
系词的形式与功能――兼论名词谓语句,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201702008.htm
汉英翻译文学批评的困惑及其哲学思考,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201702009.htm
眼动跟踪技术在视译过程研究中的应用――成果、问题与展望,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201702010.htm
重新语境化与企业文化的传播――以世界五百强企业的网页翻译为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201702011.htm
现代汉语名词短语省略的形式句法研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201701004.htm
汉语表被动的动宾结构,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201701005.htm
量化在儿童早期语言中的萌芽,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201701006.htm
语言相对论实验类研究方法的进展、问题及对策,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201701007.htm
手语音系研究及其理论模型,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201701008.htm
从句法――韵律接面关系的视角看连上变调问题#1#以“老李买好酒”为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201701009.htm
法语中音节倒置现象的研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201701010.htm
从知识论的视角解读金岳霖的翻译思想,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201701011.htm
认知突显理论观照下霍译《红楼梦》中探春形象定向重构研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WYXY201701012.htm
